system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EndDate,PointIndex,StartDate,VH,VV,angle,coordinates,elevation,fc,landcover,ssm,.geo
00000000000000000000_54,1870.295815,18.33333333,3368.971733,2749.579859,1847.651764,1947.246986,2348.528719,2470.802173,2602.044743,2768.496097,2684.052994,2906.65631,1146.962482,2020-07-04T00:00:00,54,2020-06-24T00:00:00,-17.65105762,-10.81769075,37.78104569,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.574738503,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_55,1958,51.57395373,3545.091826,2925.66813,1936.245955,2059.087528,2495.39949,2665.190795,2812.2885,2919.982129,2894.426087,3070.564498,1733.684343,2020-07-14T00:00:00,55,2020-07-04T00:00:00,-17.58518623,-10.53403013,37.56799108,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.431437016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_56,1934.311282,15.46523265,3469.535755,2809.582896,1908.823425,2022.736272,2454.887418,2557.999882,2694.778216,2864.87201,2757.940153,3020.062412,1092.206979,2020-07-24T00:00:00,56,2020-07-14T00:00:00,-16.85911638,-10.10322806,37.55454163,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.42463088,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_57,1819.344164,22.38906941,2994.941776,2393.763149,1758.261968,1819.196998,2169.559562,2269.25996,2388.458925,2509.420187,2422.402645,2630.661042,1113.322654,2020-08-03T00:00:00,57,2020-07-24T00:00:00,-16.83795816,-10.75446725,37.24545262,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.456577539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_58,1908.276514,20.67383676,3414.223036,2780.437498,1874.472965,1978.183674,2407.192916,2543.171808,2641.312897,2803.75156,2739.131466,2945.631816,1319.456979,2020-08-13T00:00:00,58,2020-08-03T00:00:00,-17.08814897,-10.17163599,37.56521014,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.43000412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_59,1912.434884,57.27813881,3224.854932,2589.056913,1841.882501,1901.244229,2272.70716,2350.727004,2463.941493,2640.98441,2528.991128,2805.502294,873.5275973,2020-08-23T00:00:00,59,2020-08-13T00:00:00,-16.59516981,-10.30496726,37.5679026,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_60,1920.632441,17.64569795,3500.123849,2808.803285,1894.59522,1963.562125,2358.331438,2430.825379,2573.937051,2769.845992,2641.477796,2931.719855,905.1870938,2020-09-02T00:00:00,60,2020-08-23T00:00:00,-20.79556201,-11.55609016,37.78105711,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.604395151,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_61,1848.481241,18.19426393,3297.898114,2702.544961,1796.680906,1881.788204,2275.064656,2374.762678,2514.837158,2654.798132,2557.345212,2807.713305,1083.991162,2020-09-12T00:00:00,61,2020-09-02T00:00:00,-20.61468267,-10.57738949,37.43404052,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.545608044,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_62,1936.700351,38.61755913,3222.124423,2633.421549,1868.455989,1926.228993,2275.028098,2373.062055,2496.070286,2640.745609,2569.278118,2772.449074,1116.039771,2020-09-22T00:00:00,62,2020-09-12T00:00:00,-19.33784913,-11.19246313,37.43200729,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.466327429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_63,1903.061282,21.36093059,3232.484774,2657.124775,1821.759083,1873.481272,2231.898741,2343.727246,2461.168047,2604.881032,2521.231577,2742.647275,1117.298024,2020-10-02T00:00:00,63,2020-09-22T00:00:00,-18.33359866,-11.0854855,37.24739048,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.638361692,"{""type"":""MultiPoint"",""coordinates"":[]}"
