,InSituSM
2019-05-11,0.2595209486966581
2019-05-21,0.2595531240526612
2019-05-31,0.23572218528709418
2019-06-10,0.23003239895461366
2019-06-20,0.19643811831706182
2019-06-30,0.18027833333333335
2019-07-10,0.17313694444444447
2019-07-20,0.15681845420734541
2019-07-30,0.13568321721305454
2019-08-09,0.2195375277777778
2019-08-19,0.20556319908019996
2019-08-29,0.2334668061366806
2019-09-08,0.1942729294298303
2019-09-18,0.2095200992569902
2019-09-28,0.2085715063185503
2019-10-08,0.1837757441775837
2019-10-18,0.16988015153628036
2019-10-28,0.26217622122714823
2019-11-07,0.2741529006831319
2019-11-17,0.2718132563256326
2019-11-27,0.27699256079587325
2019-12-07,0.27349314389749263
2019-12-17,0.26687241379310345
2019-12-27,0.26356442917547573
2020-01-06,0.2730367965367965
2020-01-16,0.28276746031746036
2020-01-26,0.27573709124472573
2020-02-05,0.26167005347593586
2020-02-15,0.25220860419449487
2020-02-25,0.2623936581340309
2020-03-06,0.24369210398278052
2020-03-16,0.2690202367878543
2020-03-26,0.25293423697484085
2020-04-05,0.22230200953045096
2020-04-15,0.19873501386170908
2020-04-25,0.20437472222222222
2020-05-05,0.1819915933459834
2020-05-15,0.19564009842654742
2020-05-25,0.2069907064746005
2020-06-04,0.15305311366806137
2020-06-14,0.15675633076565643
2020-06-24,0.1846984190286284
2020-07-04,0.19238549009218964
2020-07-14,0.24226410832145306
2020-07-24,0.24587573419290196
2020-08-03,0.2476613014506229
2020-08-13,0.21452090829846582
2020-08-23,0.18115533124128314
2020-09-02,0.1982641011713584
2020-09-12,0.26582666666666666
2020-09-22,0.2149536111111111
2020-10-02,0.18300239830311482
2020-10-12,0.1763624318651429
2020-10-22,0.17539323710550034
2020-11-01,
2020-11-11,0.24395688073394495
2020-11-21,0.23431387704335466
2020-12-01,0.2778880213620515
2020-12-11,0.27397826363059063
2020-12-21,0.2686242315649475
2020-12-31,0.2790534482758621
2021-01-10,0.2640600055694793
2021-01-20,0.25748336697200225
2021-01-30,0.26829171888662195
2021-02-09,
2021-02-19,0.267441964841181
2021-03-01,0.2574265785218417
2021-03-11,0.2625931292750965
2021-03-21,0.2554463618564628
2021-03-31,0.21894852831918035
2021-04-10,0.19617495148094485
2021-04-20,0.23448219233996237
2021-04-30,0.23828757451120652
2021-05-10,0.23557258817096147
2021-05-20,0.2660141472868217
2021-05-30,0.2551398549008463
2021-06-09,0.19768646229632691
2021-06-19,0.19490500648279116
2021-06-29,0.250169239134701
2021-07-09,0.20483372807017544
2021-07-19,0.18285893543444642
2021-07-29,0.21202142894178042
2021-08-08,0.20143586623848697
2021-08-18,0.22920279698529697
2021-08-28,0.18346422419804742
2021-09-07,0.17411138888888888
2021-09-17,0.16149430555555555
2021-09-27,0.16816504684399422
2021-10-07,0.1584637869538377
2021-10-17,0.19280858925193023
2021-10-27,0.17317672938144332
2021-11-06,0.2309836216319615
2021-11-16,0.17433708333333334
2021-11-26,0.13974429084122883
2021-12-06,0.13608155339805825
2021-12-16,0.1341983948885772
2021-12-26,0.1315936
2019-01-01,0.3854187217011
2019-01-11,0.39980807792754325
2019-01-21,0.3574280585306618
2019-01-31,0.3459187889009512
2019-02-10,0.3396412509415945
2019-02-20,0.35467117721840835
2019-03-02,0.33745685944773457
2019-03-12,0.37668211238172633
2019-03-22,0.3655552057226399
2019-04-01,0.34441650874032037
2019-04-11,0.3142873189170183
2019-04-21,0.324269661496737
2019-05-01,0.4149295352323838
2019-05-11,0.3715090576825508
2019-05-21,0.40898901201908294
2019-05-31,0.37036977577340924
2019-06-10,0.393584525862069
2019-06-20,0.33706347222222216
2019-06-30,0.16659286776575036
2019-07-10,0.12385366301938068
2019-07-20,0.10470602192142679
2019-07-30,0.09262380592903056
2019-08-09,0.10533356425176392
2019-08-19,0.20269751765686647
2019-08-29,0.24405662482566248
2019-09-08,0.11976312887813355
2019-09-18,0.19702453798895445
2019-09-28,0.2622758333333333
2019-10-08,0.24663917480241748
2019-10-18,0.20915874999999998
2019-10-28,0.24458069444444444
2019-11-07,0.21764171725610323
2019-11-17,0.21259817021486893
2019-11-27,0.2367604346427876
2019-12-07,0.23004189669348482
2019-12-17,0.21815955322128847
2019-12-27,0.2806178852859135
2020-01-06,0.289130962068551
2020-01-16,0.3019042056074766
2020-01-26,0.3063519160956846
2020-02-05,0.2974560477370172
2020-02-15,0.2991395364975586
2020-02-25,0.35349576561818186
2020-03-06,0.3593618044525124
2020-03-16,0.40564679934012754
2020-03-26,0.36745168184306115
2020-04-05,0.31610635971055084
2020-04-15,0.30148100408664574
2020-04-25,0.3269386727103673
2020-05-05,0.24089361181740898
2020-05-15,0.24086777777777776
2020-05-25,0.2655196201030748
2020-06-04,0.14985888888888887
2020-06-14,0.20254247187060478
2020-06-24,0.20604194444444443
2020-07-04,0.18906145646543138
2020-07-14,0.31263372916287807
2020-07-24,0.35238883614627287
2020-08-03,0.37497685681874343
2020-08-13,0.3195130788005579
2020-08-23,0.16263648576097106
2020-09-02,0.16820552738576458
2020-09-12,0.21482125
2020-09-22,0.1502282600052173
2020-10-02,0.13733461047939163
2020-10-12,0.12106291199857588
2020-10-22,0.17249156961030024
2020-11-01,0.29516673327147114
2020-11-11,0.29621797063100436
2020-11-21,0.3084351965661887
2020-12-01,0.36198060094373563
2020-12-11,0.35084173392545265
2020-12-21,0.3426034439007346
2020-12-31,0.40802279632777966
2021-01-10,0.34738344778415703
2021-01-20,0.35281919693824904
2021-01-30,0.3896380489440161
2021-02-09,
2021-02-19,0.3117624739818408
2021-03-01,0.31679499665090544
2021-03-11,0.3543353602668089
2021-03-21,0.380916778042433
2021-03-31,0.31680486108475797
2021-04-10,0.3033884914597877
2021-04-20,0.32431568919003695
2021-04-30,0.29330103535353536
2021-05-10,0.2664316202995507
2021-05-20,0.3208106772381533
2021-05-30,0.3600800712095922
2021-06-09,0.24857347222222223
2021-06-19,0.19634386043995675
2021-06-29,0.3446253904450338
2021-07-09,0.23662347222222221
2021-07-19,0.12975649282200213
2021-07-29,0.13705275761306634
2021-08-08,0.1217860419572292
2021-08-18,0.20001194444444445
2021-08-28,0.1688994270106927
2021-09-07,0.19486319444444444
2021-09-17,0.11665041492329149
2021-09-27,0.16441832531100717
2021-10-07,0.20260616839956325
2021-10-17,0.1761961111111111
2021-10-27,0.18125659088978455
2021-11-06,0.17563483333333332
2021-11-16,0.14465020931520461
2021-11-26,0.12070618708452042
2021-12-06,0.10417305653479568
2021-12-16,0.09568857226952591
2021-12-26,0.09234494568324758
2019-01-01,0.32729441973424506
2019-01-11,0.33126183238780066
2019-01-21,0.26563032680862836
2019-01-31,0.2507958901676505
2019-02-10,0.31092059480108636
2019-02-20,0.2895576375216658
2019-03-02,0.23442360622594996
2019-03-12,0.2683627876984127
2019-03-22,0.23734687475889493
2019-04-01,0.25928423372379256
2019-04-11,0.2096603024016758
2019-04-21,0.2488178465751734
2019-05-01,0.33341081060606054
2019-05-11,0.28211787728026533
2019-05-21,0.3201831543346716
2019-05-31,0.24503530119858263
2019-06-10,0.27669588771702963
2019-06-20,0.22982865643886563
2019-06-30,0.2097735380013465
2019-07-10,0.12670889122315593
2019-07-20,0.09251396774097016
2019-07-30,0.13010817412264886
2019-08-09,0.17353779637377964
2019-08-19,0.14539544260076911
2019-08-29,0.2056877981171548
2019-09-08,0.15909485327421394
2019-09-18,0.23831740120874012
2019-09-28,0.23392319444444443
2019-10-08,0.1474879166666667
2019-10-18,0.16117848454354466
2019-10-28,0.2652951185495119
2019-11-07,0.31113151054842575
2019-11-17,0.30737067385110867
2019-11-27,0.32207773285046243
2019-12-07,0.2792311901346393
2019-12-17,0.2598057942164917
2019-12-27,0.3144004254177701
2020-01-06,0.3022999167028828
2020-01-16,0.33600273780179973
2020-01-26,0.33619658201058195
2020-02-05,0.3215468885210863
2020-02-15,0.30645904349116054
2020-02-25,0.31837136103517616
2020-03-06,0.2839129396306121
2020-03-16,0.3561695453016631
